"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2861","deveCalcularSaldoDasContas()","","Sun Sep 29 17:53:10 BRT 2024","passed","Sun Sep 29 17:53:13 BRT 2024","","me.wcquino.tests.SaldoTest","me.wcquino.tests.SaldoTest","deveCalcularSaldoDasContas"
"","631","naoDevePermitirAcessarRecursoContasSemToken()","","Sun Sep 29 17:53:22 BRT 2024","passed","Sun Sep 29 17:53:23 BRT 2024","","me.wcquino.tests.ContasTest","me.wcquino.tests.ContasTest","naoDevePermitirAcessarRecursoContasSemToken"
"","1027","deveIncluirUmaContaComSucesso()","","Sun Sep 29 17:53:21 BRT 2024","passed","Sun Sep 29 17:53:22 BRT 2024","","me.wcquino.tests.ContasTest","me.wcquino.tests.ContasTest","deveIncluirUmaContaComSucesso"
"","653","naoDevePermitirAcessarSaldoSemToken()","","Sun Sep 29 17:53:13 BRT 2024","passed","Sun Sep 29 17:53:13 BRT 2024","","me.wcquino.tests.SaldoTest","me.wcquino.tests.SaldoTest","naoDevePermitirAcessarSaldoSemToken"
"","1007","deveValidarCamposObrigatoriosParaMovimentacao()","","Sun Sep 29 17:53:16 BRT 2024","passed","Sun Sep 29 17:53:17 BRT 2024","","me.wcquino.tests.MovimentacoesTest","me.wcquino.tests.MovimentacoesTest","deveValidarCamposObrigatoriosParaMovimentacao"
"","1025","naoDeveInserirContaComMesmoNome()","","Sun Sep 29 17:53:18 BRT 2024","passed","Sun Sep 29 17:53:19 BRT 2024","","me.wcquino.tests.ContasTest","me.wcquino.tests.ContasTest","naoDeveInserirContaComMesmoNome"
"","1051","naoDeveCadastrarMovimentacaoFutura()","","Sun Sep 29 17:53:15 BRT 2024","passed","Sun Sep 29 17:53:16 BRT 2024","","me.wcquino.tests.MovimentacoesTest","me.wcquino.tests.MovimentacoesTest","naoDeveCadastrarMovimentacaoFutura"
"","1511","deveAlterarUmaContaComSucesso()","","Sun Sep 29 17:53:19 BRT 2024","passed","Sun Sep 29 17:53:21 BRT 2024","","me.wcquino.tests.ContasTest","me.wcquino.tests.ContasTest","deveAlterarUmaContaComSucesso"
"","1562","deveRemoverMovimentacaoComSucesso()","","Sun Sep 29 17:53:13 BRT 2024","passed","Sun Sep 29 17:53:15 BRT 2024","","me.wcquino.tests.MovimentacoesTest","me.wcquino.tests.MovimentacoesTest","deveRemoverMovimentacaoComSucesso"
"","1529","deveIncluirUmaMovimentacaoComSucesso()","","Sun Sep 29 17:53:17 BRT 2024","passed","Sun Sep 29 17:53:18 BRT 2024","","me.wcquino.tests.MovimentacoesTest","me.wcquino.tests.MovimentacoesTest","deveIncluirUmaMovimentacaoComSucesso"
